LimitExceeded,StepsCount,CaloriesConsumed,RoadTravelTime,PhoneCallTime,MaximumTemprature,Age,Weight
No,7848,2334,3,4,37,34,63
No,5398,1945,4,4,40,47,61
No,6039,2122,5,3,27,35,86
No,5023,2082,3,3,13,40,71
Yes,6055,2818,4,4,21,38,102
No,8387,2139,6,3,22,46,91
No,8948,2258,3,3,21,37,84
No,3758,2515,3,2,24,38,69
No,5924,2097,4,3,18,43,87
No,5283,2424,1,3,28,38,64
No,6927,1960,3,2,21,35,80
No,5324,2419,2,3,39,49,70
No,3655,1884,3,3,26,42,69
No,8119,2348,3,2,26,32,75
No,7123,2657,4,3,38,35,75
No,7073,1868,4,2,27,38,85
Yes,5117,2896,3,3,17,36,83
No,6948,2342,3,4,30,37,87
No,5741,2095,4,3,28,34,78
No,6723,2412,2,4,43,38,66
Yes,2576,2596,3,3,7,39,89
No,7394,2049,4,3,29,35,70
No,4667,2409,1,4,19,42,73
No,5446,2760,4,2,37,37,78
Yes,2969,2205,3,3,20,44,67
Yes,5782,2785,3,4,6,38,78
No,8556,2564,3,2,14,44,100
No,5544,2441,3,3,19,34,80
No,6441,2000,2,3,14,38,96
No,7181,1786,2,3,42,42,74
No,4624,1935,4,3,51,46,78
Yes,5278,2630,2,3,10,45,81
No,4606,2245,4,3,25,28,67
No,6674,2685,2,2,34,40,81
No,6551,2116,4,3,27,48,68
No,7328,1921,2,2,10,45,67
No,5467,2298,3,3,53,29,68
No,5349,2363,3,2,29,37,82
No,7791,1799,4,3,33,46,77
No,5754,2568,3,4,29,30,71
No,6275,2035,2,3,41,44,81
Yes,5131,2153,5,4,24,42,83
No,7998,1809,3,2,27,39,75
No,3916,2034,2,2,30,42,56
Yes,3811,2549,3,3,20,37,76
No,4941,2304,5,3,37,37,88
No,9934,2484,4,2,38,41,43
No,7419,2633,4,2,32,36,68
No,6370,2495,3,4,39,42,61
No,3225,2245,2,4,32,39,66
No,7463,2396,3,3,12,41,93
No,4249,2247,4,2,29,44,79
No,4644,2507,3,3,28,35,67
No,8517,2366,5,3,4,31,79
No,5872,2334,2,4,35,40,70
No,6467,2001,3,3,13,44,77
No,7641,2429,3,3,35,44,81
No,5391,2421,2,4,28,47,96
No,6109,2193,2,3,15,41,84
No,7382,2262,2,3,15,38,92
No,4794,2035,1,3,55,28,74
No,7964,2495,2,4,26,38,69
No,5278,2628,3,3,38,41,77
No,4240,1768,3,2,30,43,74
No,5927,2124,2,4,24,39,95
No,4861,2220,4,3,24,38,67
No,5148,2152,4,1,24,40,60
No,4867,2531,2,4,25,45,77
No,6819,1884,1,3,20,39,77
No,7764,2659,4,3,35,31,81
No,7737,2351,4,2,12,46,79
No,7370,2103,3,3,19,41,77
No,5494,1992,4,4,13,42,60
No,4757,2225,3,3,18,35,52
No,6339,2482,3,4,43,38,76
No,6879,2274,3,2,14,43,75
No,5345,2131,3,3,13,51,88
No,4338,2667,3,3,34,39,81
No,5060,1897,4,4,15,38,68
No,7032,2172,3,2,25,50,64
No,7326,2569,4,2,40,34,81
No,1992,2425,2,3,34,37,51
No,5498,2047,2,3,20,41,75
No,6874,2946,3,4,30,36,72
No,5615,1956,3,2,28,39,63
Yes,3261,2135,3,4,11,43,59
No,6373,2594,2,3,23,34,77
Yes,4635,2957,3,2,19,41,83
No,4623,1934,3,3,32,51,77
No,5007,2689,1,2,37,44,70
No,6938,2460,4,3,43,38,71
No,4668,1909,3,3,23,35,75
No,4463,2598,3,3,25,40,66
No,8291,2504,2,4,21,42,59
No,6104,2389,2,3,19,30,64
Yes,5910,2806,2,3,12,36,80
No,6713,2008,3,3,20,42,72
No,6156,2476,2,3,47,44,70
No,5636,2121,2,4,27,33,80
No,6274,2613,2,2,33,40,92
No,5756,1593,3,3,42,45,66
No,6744,1765,2,3,39,41,79
No,5689,2100,2,3,17,44,79
No,5436,2290,2,3,30,45,70
No,4185,2329,4,3,32,40,77
No,6523,2361,4,3,25,37,75
No,6105,2104,4,3,50,38,78
No,8472,2207,4,4,34,47,69
No,2896,2559,2,3,30,38,92
No,4718,2262,4,5,42,35,99
No,7747,2535,3,4,32,36,79
No,4530,1992,1,2,38,47,69
No,6600,2759,5,2,28,38,67
No,4749,2157,3,3,47,36,73
No,5739,2071,4,4,12,40,67
No,5493,2416,3,3,31,38,75
Yes,4397,2768,4,4,17,51,76
No,5837,2818,3,1,22,35,91
No,5835,2251,3,3,39,43,87
Yes,2955,2227,2,3,33,50,83
No,3459,2066,3,3,33,49,81
No,9382,2294,2,3,14,35,85
No,6529,2289,3,3,49,34,73
No,4652,2032,2,1,24,32,73
No,4342,2537,3,2,17,33,76
No,3237,1751,0,5,23,40,86
No,4699,2111,3,2,21,43,84
No,7397,2306,2,4,32,37,79
No,6033,2509,4,4,31,38,60
No,6330,1885,3,3,26,43,87
No,6186,1822,3,3,55,49,60
No,7573,2319,1,4,18,39,63
No,6603,2115,3,2,34,37,80
No,7507,1836,2,2,34,49,68
No,4777,2472,4,3,31,40,90
No,8600,2210,2,2,41,50,94
No,4038,2518,4,2,28,34,66
Yes,5400,2713,3,3,28,48,84
No,5524,2952,3,3,24,41,87
No,6814,2340,3,2,25,41,52
No,9987,2142,6,3,23,47,79
No,6033,1953,3,1,12,38,67
No,4863,1515,3,3,29,35,77
No,7017,1975,3,3,18,39,63
No,4128,2391,2,4,26,41,75
No,5534,2356,4,3,29,33,80
No,6635,1921,5,1,36,36,82
No,3807,2630,2,3,37,35,70
No,4540,2264,2,2,22,27,79
No,3989,2698,3,3,41,40,69
No,5205,2713,3,4,27,41,88
No,3322,2374,3,3,27,52,66
No,5478,2451,3,3,23,33,84
No,7286,2868,4,3,29,40,75
No,7193,2302,2,2,25,42,78
No,6964,1792,4,2,29,46,75
No,7314,2694,3,4,29,47,83
No,4793,2134,5,2,30,46,77
No,4793,2194,3,4,34,40,79
No,6034,2385,2,4,21,46,83
No,5833,1963,2,3,23,38,78
No,7030,2525,5,1,28,40,69
No,6954,2763,3,3,36,42,73
No,4975,2820,3,3,25,39,80
No,7556,1634,3,3,18,34,74
No,6917,2199,2,4,24,32,74
No,7040,2234,2,3,29,49,78
No,6221,2476,1,3,28,41,80
No,6732,2183,2,3,23,34,60
No,6606,2251,4,4,21,39,89
No,6454,1847,3,2,23,34,87
No,6184,1899,4,2,15,38,76
No,6911,3000,6,3,34,32,72
No,8056,2524,3,4,12,40,63
No,5420,2545,1,4,16,32,70
No,3872,1628,4,3,20,46,55
No,6352,2389,1,3,44,35,83
No,5430,1957,2,3,25,46,82
No,5404,2119,2,4,25,46,67
No,7327,2206,2,4,17,38,57
No,6837,1499,4,2,14,41,66
No,7329,2329,3,4,19,34,84
No,6177,2408,3,2,31,45,82
No,5030,1840,3,2,8,40,87
No,5616,1889,3,3,41,36,84
No,4160,2342,3,3,29,42,74
No,8237,2371,2,4,23,42,85
No,6682,2236,2,3,32,35,68
No,7782,2601,4,2,45,38,71
No,4872,2042,2,3,29,43,62
No,6144,1659,2,3,31,43,76
No,4824,2564,2,3,25,40,70
No,5931,2213,3,3,30,41,67
No,6648,2416,2,4,11,39,69
No,4532,2268,4,4,41,40,69
No,6990,2070,2,4,22,44,66
No,6359,2357,1,3,41,37,87
No,6550,2677,2,2,21,37,75
No,8611,2560,3,3,19,34,74
No,4695,3038,1,3,23,34,58
No,9088,2467,5,3,17,33,65
No,3767,2012,5,2,27,42,89
No,5061,1842,3,2,32,34,74
No,5804,2318,3,4,18,44,78
No,8594,2038,4,4,28,33,86
No,6570,2120,3,4,46,36,60
No,5681,2390,2,3,39,39,77
No,8186,2303,2,4,28,36,74
No,7215,2832,4,2,29,37,70
No,7866,2670,2,3,19,41,60
No,4889,1826,5,3,38,40,80
No,5050,2222,2,3,13,44,78
No,4906,2102,4,3,46,38,83
No,4674,2312,1,1,32,31,80
Yes,5719,2765,4,2,23,49,81
No,8981,2108,4,4,8,36,74
No,3435,2265,2,3,39,40,75
No,6504,2123,4,2,13,30,83
No,6637,1846,2,3,13,43,76
Yes,6771,2483,5,3,13,36,83
No,3475,1654,3,3,22,38,73
No,4649,2498,3,2,18,40,70
No,7499,2121,3,4,40,43,68
No,8082,1859,1,3,36,36,71
No,7347,2536,3,3,33,41,79
No,7273,2463,3,3,19,39,81
No,3581,1917,3,3,23,42,77
No,6660,2019,4,3,13,48,77
No,5260,2905,1,3,32,38,64
No,4055,2314,4,2,28,34,95
No,7626,2091,4,2,36,30,83
No,7454,2232,1,3,20,34,84
No,5041,2247,3,4,38,42,79
Yes,3608,2714,3,2,18,40,92
No,7618,2668,3,3,17,42,88
Yes,6045,2199,3,3,7,50,84
Yes,5523,2894,4,4,9,54,84
No,5357,2200,4,4,21,36,59
No,5303,2011,2,4,15,27,79
No,8162,2572,3,3,25,34,48
No,4588,2354,5,3,23,33,78
No,7950,2260,3,3,27,46,78
No,4458,2339,4,3,47,42,70
No,7167,2116,4,3,28,42,81
No,8881,1844,4,3,36,39,74
No,5989,2247,5,2,25,42,81
No,5040,2520,3,3,23,42,63
No,4040,2330,3,3,32,32,69
No,5668,3060,2,2,43,34,69
Yes,3211,2283,3,5,20,39,88
No,5983,2301,3,2,32,41,71
No,5758,2116,4,4,10,41,88
No,9022,2263,3,3,11,38,81
No,5325,2387,4,3,23,40,103
No,3883,2122,3,3,29,45,53
Yes,6100,2311,3,3,10,41,89
No,4193,1949,3,2,20,42,77
No,4789,2150,2,3,21,45,85
No,5462,2398,5,1,12,35,64
No,6865,2606,5,2,23,31,72
No,8451,2673,2,4,11,40,66
No,7465,1880,4,3,32,44,82
No,6367,2270,4,3,16,39,80
No,5608,2283,2,3,24,42,80
No,7565,2227,3,3,36,46,76
No,6332,2493,3,3,14,40,68
No,6158,2314,2,2,15,35,77
No,4213,1744,1,3,31,35,73
No,7931,2487,3,4,40,39,72
No,7743,1926,2,3,3,51,67
No,7236,2566,1,2,27,36,72
No,8444,2502,3,3,18,40,74
No,7377,2202,2,4,20,44,83
No,4608,1791,2,4,29,39,76
No,5360,2063,2,3,23,46,60
No,7280,2162,2,3,5,42,75
No,4837,1802,3,4,25,44,77
No,5082,2461,1,3,24,32,57
No,5461,2268,4,4,37,44,88
No,5095,2683,2,3,16,39,75
No,6125,2282,3,4,16,41,67
No,5806,2371,3,3,22,43,94
No,4612,2360,4,4,28,39,83
No,6417,2426,3,4,27,41,81
No,5951,2687,3,4,13,43,55
No,4728,2876,3,3,33,45,70
No,7784,2050,2,3,9,41,71
No,6843,2273,2,2,36,50,81
No,6303,1829,3,2,14,36,80
No,4309,2101,4,3,32,41,79
No,7181,2477,4,3,40,42,76
No,4488,2124,2,4,34,46,85
No,9172,2520,2,3,10,45,68
No,5273,2279,4,2,22,46,77
No,3922,1882,3,3,20,43,70
No,5458,2155,3,2,26,33,73
No,6322,2221,1,4,49,40,67
No,6617,1910,2,4,21,35,92
No,4913,2344,4,3,44,31,78
Yes,4085,2283,4,3,15,36,71
No,6714,2252,1,3,37,40,81
No,1804,1882,2,2,20,42,77
No,5479,2068,2,3,42,44,76
Yes,5216,2483,3,4,18,37,69
No,8647,1942,1,2,23,41,68
No,4628,2325,3,3,25,40,77
No,6042,2580,3,3,30,36,74
No,7522,2564,2,2,16,45,92
Yes,3505,2140,2,4,1,30,62
No,7490,2582,2,3,36,38,62
No,6668,2350,4,3,10,41,88
No,3848,2301,3,2,30,45,98
No,4591,2360,0,3,27,37,76
No,6236,2432,3,4,41,47,58
No,4426,2161,3,3,33,35,82
No,4762,2271,3,4,24,37,96
No,6038,2155,3,4,21,48,68
No,6105,2650,3,4,25,43,80
No,6313,1901,2,3,19,31,68
No,4403,2276,0,3,24,38,62
No,5237,2240,5,3,24,35,63
No,4965,2208,4,3,19,38,82
Yes,5775,2460,3,4,22,44,76
No,5821,2090,4,3,33,35,80
No,5563,2318,3,4,22,43,69
No,8117,2502,3,4,38,37,66
No,4933,1894,3,4,11,39,72
Yes,2042,2310,4,4,30,39,63
Yes,5560,2277,4,3,11,39,74
No,7131,2315,4,5,33,36,67
No,7473,2230,3,2,31,38,59
No,6196,2222,4,3,23,41,71
No,5406,2202,3,4,32,47,85
No,7283,2438,2,3,29,32,86
No,8054,2102,5,3,28,38,67
No,4821,1811,4,3,30,48,68
No,7165,2365,2,3,4,45,64
No,5647,1931,2,2,20,44,66
No,5236,2630,4,4,40,42,66
No,6067,2381,3,3,30,37,88
Yes,3665,2373,3,3,8,48,81
No,8232,2129,1,3,33,38,86
No,5738,2572,2,2,21,43,83
No,6498,2513,4,3,28,40,85
No,5932,2792,3,3,30,41,75
No,7111,2632,3,3,11,37,66
Yes,4392,1974,4,4,5,41,74
Yes,4163,2300,4,2,21,38,79
No,5979,2612,4,2,20,46,70
No,6444,2753,3,3,46,40,69
No,5311,2730,3,2,15,37,65
No,6919,2441,3,2,29,38,81
No,10599,2535,2,4,36,39,70
No,5082,2182,1,3,23,39,54
No,5359,1603,3,3,21,46,61
No,7402,2316,4,3,26,47,62
No,7199,2035,2,3,44,45,54
No,5428,2432,3,2,16,40,82
No,6725,1960,2,4,15,38,71
No,7644,2661,2,2,29,38,76
No,8225,1964,3,3,37,39,60
No,3635,1939,3,3,31,48,83
No,6158,2246,3,3,33,40,88
No,4658,1894,4,3,30,39,76
No,7119,2192,4,4,30,44,80
No,4685,2050,3,4,36,34,74
No,5580,2182,4,3,40,40,66
No,6302,2273,4,4,25,44,96
No,6326,2645,4,3,31,35,73
No,4551,2672,3,3,23,36,92
No,5299,2514,2,3,26,41,69
No,5111,2200,4,3,47,39,90
No,5701,2343,3,3,43,41,81
No,5680,2637,2,3,50,30,72
No,5997,2361,4,3,39,41,79
No,10708,2263,3,3,35,30,68
No,7965,1808,2,2,34,45,66
No,8513,2571,3,2,10,38,76
No,4736,1925,3,6,20,30,70
No,5734,2406,4,3,40,42,66
No,5546,1973,5,3,32,35,51
No,6586,2131,3,3,41,35,67
No,3217,2545,2,3,30,42,71
No,5290,2258,4,4,32,36,73
No,6536,2027,3,2,40,50,88
No,5030,2867,2,3,28,41,69
No,6351,2038,6,3,32,40,95
No,4549,2601,2,4,46,39,65
No,4613,2601,2,4,30,46,57
No,6005,1906,2,4,25,39,82
Yes,3905,2492,4,3,24,42,80
No,7132,2064,4,3,18,41,55
No,7206,2123,2,3,21,30,75
No,5942,2394,5,3,17,29,70
Yes,3926,2027,3,4,13,45,70
No,8724,2203,3,4,26,45,64
No,6820,2542,3,3,21,39,55
No,7472,2346,3,4,13,38,81
Yes,3192,2621,4,3,31,40,70
No,3130,1866,4,3,29,40,80
No,4564,2458,4,2,57,41,77
No,5807,2072,3,3,22,38,72
No,5228,2166,3,3,31,33,64
No,9017,2089,3,4,50,35,69
No,6168,2401,3,3,23,42,86
No,6091,2271,3,3,40,42,83
No,4357,1755,4,3,17,44,93
No,6182,2409,4,2,47,48,69
No,6118,2604,3,4,42,41,87
No,6086,2136,3,3,11,40,60
No,7664,2175,3,3,32,38,65
No,7366,2060,4,4,40,45,93
No,2878,2332,4,4,33,31,69
No,6188,2674,1,4,49,39,57
No,7782,2821,4,2,25,31,68
No,5717,2902,2,3,29,48,56
No,9101,2470,1,2,30,40,68
No,6523,1635,4,2,15,46,70
No,4383,1627,4,4,15,46,88
Yes,3171,2179,4,5,25,43,89
No,6151,2265,3,2,28,47,68
No,5685,2418,3,3,39,40,71
No,2850,1890,2,3,28,40,66
No,9399,2379,3,3,17,42,45
No,7947,2105,4,2,37,41,89
No,5553,1762,4,2,21,45,66
No,5557,2203,3,3,21,38,92
No,7418,1865,1,1,14,33,60
No,3687,2682,3,2,16,40,78
No,2801,2218,3,2,31,47,83
No,6081,1821,2,2,25,36,91
No,5658,2457,3,2,27,38,58
No,7611,2314,3,1,22,48,93
No,5487,2188,4,3,18,40,88
No,7509,2082,3,3,37,36,79
Yes,4373,2359,4,3,12,40,74
No,6396,2267,4,3,14,41,81
No,6664,1908,4,3,12,42,63
No,7238,2066,3,2,33,43,95
No,7072,2472,3,2,33,46,84
Yes,4329,2929,3,2,22,41,92
No,8480,2567,0,3,34,44,62
No,6191,2398,4,3,20,40,80
No,6556,2481,3,4,22,33,65
No,7018,2684,5,3,44,37,72
No,8085,2223,2,3,22,36,76
No,7339,2408,3,3,34,27,81
No,5158,2055,3,3,20,40,78
No,5274,1963,4,3,39,41,75
No,7880,1563,1,3,35,33,82
Yes,4945,2397,2,3,23,43,76
Yes,3890,2097,3,4,22,48,81
No,5215,2423,1,4,34,38,84
Yes,3551,2236,1,3,15,38,96
No,5880,2367,2,2,35,42,72
No,6417,2123,3,2,15,36,69
No,4498,2095,4,2,49,38,85
No,6235,1878,3,3,25,25,64
No,8051,2506,3,1,35,44,73
No,7098,2351,2,1,46,43,85
No,5543,1715,4,4,43,43,74
No,6502,2448,4,2,40,39,78
No,5222,2067,3,3,19,33,75
Yes,4050,2588,4,4,19,33,82
No,7327,1945,3,4,32,42,77
No,7083,2117,3,3,30,38,65
No,6085,2654,4,3,24,47,84
No,5544,2803,2,2,18,45,71
Yes,4390,2160,4,4,18,47,79
No,6749,2451,3,1,38,44,73
No,5685,2524,2,2,24,44,72
No,5825,2286,5,4,21,37,58
No,5992,1948,3,3,30,42,70
No,6649,2735,2,3,13,40,73
No,5727,2526,4,4,25,48,68
No,6627,2201,4,3,21,41,72
No,6513,2146,4,2,38,36,48
No,5303,2396,4,3,30,42,61
No,3333,2199,3,3,28,40,57
No,4851,2654,2,3,20,34,75
No,6604,2074,4,2,29,43,60
No,4094,2135,4,5,41,36,87
No,6041,2023,3,4,33,41,59
No,6316,2277,3,3,22,44,60
No,4451,2222,4,2,34,40,90
No,6158,2778,2,3,20,44,65
No,8497,2571,3,3,24,49,76
No,7132,1844,4,3,27,38,62
Yes,7028,2563,5,4,4,38,69
No,3967,2382,3,4,36,42,64
No,2806,2108,3,1,23,33,67
Yes,3232,2160,2,2,14,40,75
No,4747,2402,3,2,22,39,82
No,8785,1932,3,3,28,43,86
No,5996,2157,2,3,30,40,82
No,4487,2813,3,2,35,46,86
No,8198,2149,2,3,19,49,85
No,3358,2427,2,4,35,37,72
No,6907,1764,2,2,26,40,94
No,5926,2285,2,3,21,22,82
No,7594,1884,4,2,45,39,79
No,5666,2157,3,2,31,34,57
Yes,2548,2400,2,4,19,32,56
No,6382,2464,2,3,28,37,84
No,7576,2464,2,3,24,41,97
No,6665,1847,4,2,27,42,74
No,4530,2283,3,4,27,37,75
No,6890,2766,3,3,27,42,82
No,6436,2226,4,2,18,40,57
No,6668,2469,2,3,21,39,69
No,5358,2043,1,2,39,40,86
No,7112,2650,2,2,39,46,74
No,4282,2353,3,3,31,37,58
No,6987,2434,3,3,34,51,66
No,4074,1956,2,3,29,39,93
No,8182,2487,4,3,35,41,74
No,4258,2636,3,2,27,38,65
No,6136,2084,4,4,33,42,61
Yes,2723,2514,4,4,21,49,92
No,5758,2066,4,2,19,33,72
No,5082,2471,4,2,25,38,83
No,5477,2284,4,2,13,38,73
No,7472,2640,5,3,36,41,81
No,6642,2026,5,5,19,40,81
No,5795,2334,2,3,49,29,69
No,6952,2381,4,4,22,33,73
No,8639,2149,3,2,29,34,63
No,6979,2485,5,2,23,31,62
No,4821,2007,4,4,19,43,64
No,6519,2295,4,2,17,39,72
No,3412,2276,4,4,47,37,88
Yes,5855,2466,3,4,9,38,87
Yes,6085,2377,4,4,13,44,87
Yes,4248,2354,4,2,13,37,59
Yes,5475,2498,4,3,8,47,82
No,4358,2652,4,3,40,43,65
No,5486,2372,2,4,43,45,73
Yes,3018,2664,1,3,13,35,72
No,5431,2111,4,2,22,45,84
No,6417,2254,3,3,37,39,75
No,5058,1925,3,4,25,44,84
No,4572,2517,1,2,27,31,71
No,6625,2253,4,2,31,46,93
No,5575,2458,4,4,26,38,61
No,4602,2407,3,2,23,36,54
Yes,2398,2821,2,3,9,49,69
Yes,2931,2387,3,2,1,41,80
No,5141,2297,3,2,19,29,71
No,5323,2144,3,3,37,39,74
No,6172,2363,5,3,39,46,82
No,8587,2383,4,3,34,32,90
No,7378,1950,4,4,22,45,62
No,5405,2515,2,2,16,38,60
No,6088,2348,3,2,35,43,67
No,7626,2136,2,4,19,33,64
No,5845,2779,4,3,33,42,72
No,6153,2270,2,3,24,38,82
No,7245,3097,3,2,32,38,65
No,5176,2280,3,4,34,35,75
No,5849,2607,3,4,26,45,81
Yes,3118,2687,3,3,30,45,74
No,6156,2192,4,2,41,34,71
No,5413,2426,2,3,9,38,71
Yes,4559,1851,4,3,17,49,57
No,6447,2271,3,3,42,35,65
No,9042,2515,3,3,8,48,80
No,5216,2537,4,3,32,38,83
No,6409,2193,3,5,20,38,62
No,7782,2317,2,4,23,37,60
No,4649,2355,2,2,24,38,73
No,5110,2899,2,3,36,49,89
Yes,2955,2233,3,4,28,40,87
No,6269,1848,3,3,18,41,54
No,9226,2509,3,3,26,49,78
No,2677,2318,4,3,27,37,70
No,3237,2233,1,3,43,39,78
No,7750,2362,3,2,38,43,64
No,4662,2464,2,3,21,41,71
No,8952,2181,0,3,4,33,70
No,5087,1565,2,3,28,42,48
No,7216,2356,3,3,26,36,78
