"Output","minRadius","maxRadius"
"Yes",0.998,0.986
"No",0.902,0.997
"No",0.953,0.9
"No",0.901,0.973
"Yes",0.962,0.918
"No",0.921,0.929
"No",0.935,0.933
"No",0.925,0.972
"No",0.931,0.966
"Yes",0.972,0.984
"Yes",0.994,0.925
"No",0.933,0.978
"No",0.917,0.921
"No",0.925,0.966
"No",0.953,0.955
"No",0.952,0.9
"No",0.918,0.943
"No",0.957,0.938
"No",0.902,0.974
"Yes",0.976,0.93
"No",0.944,0.941
"Yes",0.996,0.964
"Yes",0.996,0.919
"No",0.921,0.969
"No",0.959,0.961
"No",0.95,0.986
"Yes",0.969,0.926
"Yes",0.98,0.986
"No",0.93,0.947
"Yes",0.975,0.953
"No",0.912,0.982
"Yes",0.969,0.955
"Yes",0.986,0.924
"Yes",0.986,0.992
"Yes",0.975,0.994
"No",0.927,0.947
"Yes",0.971,0.94
"No",0.925,0.94
"Yes",0.981,0.98
"No",0.955,0.991
"No",0.937,0.987
"No",0.947,0.928
"Yes",0.971,0.91
"No",0.904,0.922
"Yes",0.969,0.928
"No",0.958,0.98
"Yes",0.983,0.975
"No",0.954,0.957
"No",0.9,0.981
"No",0.909,0.923
"Yes",0.961,0.995
"No",0.959,0.99
"No",0.913,0.947
"No",0.932,0.934
"Yes",0.979,0.926
"No",0.911,0.976
"Yes",0.993,0.962
"No",0.901,0.93
"No",0.903,0.928
"Yes",0.961,0.944
"No",0.93,1
"Yes",0.97,0.999
"No",0.958,0.958
"No",0.921,0.926
"Yes",0.961,0.989
"No",0.934,0.994
"Yes",0.974,0.975
"Yes",0.996,0.9
"No",0.959,0.969
"No",0.91,0.97
"No",0.91,0.911
"Yes",0.975,0.919
"No",0.922,0.992
"No",0.927,1.001
"No",0.904,0.981
"No",0.926,0.905
"No",0.907,0.99
"Yes",0.995,0.992
"No",0.953,0.912
"No",0.936,0.901
"Yes",0.964,0.935
"No",0.947,0.919
"Yes",0.962,0.947
"No",0.946,0.947
"No",0.925,0.99
"No",0.929,0.928
"No",0.906,0.952
"No",0.947,0.93
"Yes",0.986,0.966
"Yes",0.992,0.944
"No",0.939,0.971
"No",0.912,0.967
"No",0.926,0.919
"No",0.949,0.903
"Yes",1,0.903
"Yes",0.993,0.994
"No",0.939,0.971
"No",0.945,0.921
"No",0.915,0.945
"Yes",0.972,0.986
"No",0.951,0.904
"Yes",0.966,0.925
"No",0.928,0.955
"Yes",0.966,0.984
"Yes",0.997,0.965
"Yes",0.99,0.942
"No",0.956,0.919
"Yes",0.967,0.944
"No",0.95,0.99
"Yes",0.971,0.978
"Yes",0.968,0.954
"No",0.96,0.996
"No",0.949,0.909
"No",0.917,0.986
"No",0.902,0.997
"Yes",0.969,0.942
"No",0.911,0.955
"Yes",0.981,0.956
"No",0.947,0.937
"Yes",0.998,1.001
"No",0.925,0.933
"No",0.908,0.947
"Yes",0.97,0.988
"Yes",0.992,0.997
"No",0.901,0.928
"Yes",0.989,0.909
"No",0.931,0.95
"Yes",0.986,0.963
"No",0.916,0.978
"No",0.902,0.903
"Yes",0.983,0.951
"No",0.905,0.942
"Yes",0.978,0.931
"No",0.908,0.943
"No",0.906,0.97
"No",0.953,0.913
"No",0.905,0.994
"No",0.937,0.974
"No",0.917,0.951
"Yes",0.982,0.954
"Yes",0.995,0.996
"No",0.946,0.937
"No",0.934,0.983
"Yes",0.97,0.966
"No",0.939,0.989
"No",0.946,0.905
"Yes",0.968,0.965
"No",0.944,0.966
"Yes",0.991,0.95
"Yes",0.992,0.982
"Yes",0.971,0.914
"Yes",0.976,0.963
"Yes",0.978,0.988
"No",0.946,0.983
"No",0.941,0.991
"No",0.91,0.912
"No",0.913,0.951
"No",0.938,0.951
"Yes",0.986,0.944
"No",0.947,0.949
"Yes",0.964,0.944
"No",0.931,0.987
"No",0.959,0.948
"Yes",0.994,0.922
"No",0.911,0.983
"No",0.936,0.993
"No",0.94,1
"Yes",0.974,0.993
"Yes",0.989,0.965
"Yes",0.993,0.989
"Yes",0.969,0.947
"No",0.903,0.985
"Yes",0.972,0.939
"No",0.911,0.999
"No",0.921,0.902
"Yes",0.981,0.956
"No",0.946,0.954
"No",0.942,0.931
"Yes",0.983,0.928
"Yes",0.999,0.971
"No",0.919,0.969
"No",0.929,0.987
"No",0.94,0.911
"Yes",0.995,0.993
"No",0.948,0.956
"No",0.948,0.918
"No",0.931,0.906
"Yes",0.991,0.937
"No",0.917,0.989
"No",0.931,0.991
"Yes",0.971,0.955
"Yes",0.972,0.916
"No",0.96,0.929
"No",0.932,0.964
"No",0.952,0.925
"No",0.94,0.924
"Yes",0.989,0.917
"No",0.945,0.926
"Yes",0.99,0.956
"No",0.921,0.932
"No",0.903,0.954
"No",0.931,0.905
"No",0.946,0.914
"Yes",0.974,0.969
"No",0.958,0.973
"No",0.96,0.94
"No",0.949,0.946
"No",0.932,0.903
"Yes",0.997,0.928
"No",0.919,0.957
"Yes",0.969,0.914
"Yes",0.973,0.914
"Yes",0.975,0.941
"No",0.923,0.999
"No",0.939,0.904
"No",0.914,0.945
"No",0.934,1
"No",0.92,0.956
"No",0.927,0.958
"Yes",0.967,0.906
"No",0.916,0.989
"No",0.941,0.972
"Yes",0.969,0.974
"Yes",0.993,0.904
"No",0.918,0.967
"Yes",0.999,0.952
"No",0.931,0.955
"Yes",0.991,0.994
"No",0.952,0.903
"Yes",0.979,0.977
"No",0.943,0.928
"No",0.956,0.977
"No",0.923,0.925
"No",0.93,0.91
"No",0.934,0.9
"Yes",0.987,0.991
"Yes",0.989,0.919
"No",0.925,0.997
"No",0.922,0.995
"Yes",0.993,0.994
"No",0.901,0.971
"No",0.913,0.979
"No",0.949,0.92
"No",0.909,0.954
"Yes",0.991,0.915
"Yes",0.961,0.939
"Yes",0.973,0.905
"Yes",0.971,0.99
"Yes",0.986,0.927
"No",0.96,0.912
"No",0.913,0.953
"No",0.906,0.933
"Yes",0.965,0.971
"Yes",0.968,0.964
"Yes",0.976,0.973
"No",0.909,0.99
"No",0.931,0.997
"Yes",0.97,0.96
"Yes",0.973,0.948
"No",0.911,0.935
"No",0.905,0.929
"No",0.912,0.968
"Yes",0.964,0.919
"No",0.954,0.921
"No",0.958,0.983
"Yes",0.968,0.904
"Yes",0.972,0.944
"No",0.92,0.913
"Yes",0.999,0.948
"No",0.939,0.97
"Yes",0.989,0.951
"Yes",0.967,0.973
"Yes",0.971,0.952
"No",0.924,0.926
"Yes",0.979,0.989
"No",0.925,0.977
"Yes",0.967,0.985
"Yes",0.983,0.977
"Yes",0.967,0.906
"Yes",0.968,0.969
"No",0.95,0.935
"Yes",0.983,0.965
"No",0.943,0.934
"No",0.955,0.969
"Yes",0.98,0.949
"No",0.917,0.946
"Yes",0.984,0.96
"No",0.908,0.916
"No",0.951,0.963
"No",0.95,0.967
"No",0.959,0.959
"Yes",0.963,0.992
"Yes",0.985,0.93
"No",0.956,0.932
"Yes",0.975,0.972
"No",0.917,0.99
"No",0.921,0.95
"No",0.907,0.969
"No",0.96,0.926
"No",0.954,0.998
"Yes",0.972,0.92
"No",0.956,0.944
"Yes",0.967,0.979
"No",0.903,0.912
"Yes",0.962,0.937
"Yes",0.963,0.992
"Yes",0.968,0.904
"No",0.957,0.938
"No",0.958,0.981
"No",0.912,0.946
"No",0.905,0.978
"No",0.955,0.939
"No",0.919,0.918
"No",0.946,0.961
"No",0.907,0.92
"Yes",0.973,0.916
"Yes",0.991,0.966
"No",0.933,0.914
"Yes",0.995,0.911
"No",0.901,0.983
"Yes",0.978,0.935
"No",0.906,0.958
"No",0.936,0.903
"No",0.946,0.943
"No",0.9,0.941
"No",0.928,0.934
"Yes",0.98,0.9
"No",0.938,0.968
"No",0.952,1.001
"No",0.936,0.957
"No",0.955,0.904
"Yes",0.997,0.965
"No",0.936,0.907
"Yes",0.967,0.917
"No",0.94,0.967
"No",0.927,0.975
"No",0.948,0.976
"Yes",0.978,0.959
"Yes",0.996,0.906
"Yes",0.978,0.951
"No",0.917,0.977
"No",0.926,0.917
"No",0.956,0.908
"No",0.934,0.936
"Yes",0.975,0.953
"No",0.943,0.972
"Yes",0.975,0.949
"No",0.944,0.963
"Yes",0.993,0.953
"No",0.909,0.977
"No",0.91,0.952
"No",0.923,0.96
"Yes",0.975,0.996
"No",0.918,0.972
"No",0.936,0.949
"No",0.918,0.981
"Yes",0.965,0.985
"Yes",0.996,0.954
"Yes",0.961,0.986
"Yes",0.977,0.907
"Yes",0.986,0.922
"Yes",0.961,0.96
"No",0.932,0.986
"Yes",0.997,0.916
"Yes",0.988,0.934
"Yes",0.975,0.903
"No",0.901,0.91
"Yes",0.996,0.904
"Yes",0.993,0.909
"No",0.901,0.986
"Yes",0.962,0.904
"No",0.95,0.925
"No",0.933,0.92
"No",0.931,0.906
"No",0.902,0.966
"No",0.95,0.948
"No",0.954,0.987
"No",0.902,0.979
"No",0.924,0.974
"Yes",0.985,0.998
"No",0.951,0.948
"Yes",0.997,1
"No",0.903,0.924
"No",0.941,0.941
"Yes",0.996,0.979
"Yes",0.975,0.96
"No",0.947,0.947
"No",0.945,0.912
"No",0.91,0.989
"No",0.925,0.957
"No",0.946,0.922
"Yes",0.974,0.933
"Yes",0.984,0.996
"Yes",0.988,0.987
"No",0.907,0.93
"Yes",0.983,0.955
"No",0.944,0.976
"No",0.922,1.001
"No",0.918,0.921
"Yes",0.97,0.938
"Yes",0.963,0.974
"No",0.959,0.981
"No",0.947,0.925
"Yes",0.996,0.974
"Yes",0.973,0.955
"No",0.943,0.982
"No",0.912,0.957
"No",0.918,0.93
"No",0.945,0.987
"No",0.909,0.922
"No",0.92,0.929
"Yes",0.991,0.989
"No",0.92,0.919
"No",0.96,0.986
"No",0.919,0.938
"No",0.94,0.937
"No",0.924,0.956
"No",0.94,0.989
"No",0.921,0.91
"Yes",0.963,0.909
"Yes",0.981,0.954
"No",0.94,1
"Yes",0.975,0.989
"No",0.948,0.927
"No",0.911,0.904
"Yes",0.967,0.919
"No",0.941,0.911
"Yes",0.966,0.947
"No",0.957,0.973
"Yes",0.98,0.924
"No",0.933,0.98
"No",0.951,0.968
"No",0.924,0.982
"No",0.949,0.968
"No",0.915,0.937
"No",0.909,0.983
"No",0.908,0.928
"No",0.923,0.993
"Yes",0.961,0.909
"No",0.91,0.971
"Yes",0.982,0.961
"No",0.957,0.937
"Yes",0.976,0.955
"No",0.918,0.923
"Yes",0.986,0.979
"No",0.934,0.971
"No",0.95,0.937
"Yes",0.994,0.902
"Yes",0.984,0.902
"No",0.929,0.915
"No",0.956,0.976
"Yes",0.988,0.976
"No",0.927,0.942
"No",0.944,0.909
"No",0.935,0.999
"No",0.96,0.984
"No",0.949,0.926
"Yes",0.966,0.961
"No",0.947,0.91
"Yes",0.972,0.971
"Yes",0.982,0.904
"No",0.912,0.922
"No",0.913,0.974
"Yes",1,0.943
"No",0.949,0.933
"Yes",0.982,0.994
"No",0.95,0.954
"No",0.947,0.948
"Yes",0.974,0.953
"Yes",1.001,0.948
"Yes",0.982,0.922
"No",0.945,0.973
"Yes",0.971,0.953
"No",0.957,0.91
"Yes",0.962,0.959
"Yes",0.987,0.982
"Yes",0.996,0.951
"Yes",1.001,0.929
"No",0.954,0.917
"No",0.906,0.979
"No",0.953,0.951
"Yes",0.962,0.929
"Yes",0.975,0.907
"No",0.928,0.92
"Yes",0.974,0.999
"No",0.928,0.906
"No",0.913,0.948
"No",0.927,0.918
"No",0.924,0.911
"No",0.916,0.935
"Yes",0.982,0.903
"No",0.933,0.929
"Yes",0.991,0.955
"No",0.925,0.997
"No",0.928,0.996
"No",0.936,0.935
"Yes",0.98,0.989
"No",0.918,0.966
"No",0.953,0.992
"No",0.942,0.973
"No",0.936,0.916
"No",0.924,0.986
"No",0.941,0.952
"Yes",0.987,0.991
"No",0.947,0.901
"No",0.937,0.908
"No",0.946,0.939
"No",0.943,0.97
"No",0.917,0.976
"Yes",0.976,0.928
"Yes",0.974,0.992
"No",0.934,0.901
"Yes",0.968,0.957
"No",0.927,0.906
"Yes",0.996,0.975
"Yes",0.964,0.923
"No",0.908,0.923
"Yes",0.989,1.001
"No",0.916,0.992
"Yes",0.987,0.975
"No",0.93,0.955
"No",0.947,0.974
"No",0.959,0.95
"No",0.92,0.992
"No",0.952,0.949
"No",0.936,0.962
"No",0.933,1
"No",0.931,0.949
"Yes",0.998,0.983
"No",0.953,0.92
"Yes",0.965,0.978
"No",0.909,0.925
"No",0.903,0.983
"No",0.928,0.941
"No",0.947,0.916
"No",0.908,0.994
"No",0.904,1.001
"No",0.911,0.992
"No",0.928,0.935
"No",0.933,0.992
"No",0.905,0.959
"Yes",0.972,0.935
"No",0.94,0.934
"Yes",0.999,0.943
"Yes",0.991,0.929
"No",0.934,0.946
"Yes",0.985,0.927
"Yes",0.984,1.001
"Yes",0.964,0.984
"No",0.911,0.956
"No",0.909,0.984
"Yes",0.979,0.926
"No",0.94,0.962
"No",0.904,0.958
"Yes",0.98,0.947
"Yes",0.966,0.93
"No",0.941,0.932
"Yes",0.996,0.974
"Yes",0.994,0.926
"Yes",0.981,0.952
"No",0.945,0.983
"Yes",0.996,0.971
"No",0.925,0.964
"No",0.959,0.998
"No",0.902,0.969
"Yes",1,0.909
"No",0.95,0.964
"Yes",0.987,0.974
"Yes",0.976,0.954
"Yes",0.986,0.933
"Yes",0.974,0.904
"Yes",0.982,0.981
"No",0.938,0.985
"Yes",0.996,0.957
"Yes",0.995,0.979
"Yes",0.965,0.978
"No",0.943,0.901
"Yes",0.978,0.964
"No",0.935,0.977
"No",0.955,0.944
"Yes",0.968,0.968
"No",0.932,0.911
"Yes",0.961,0.929
"No",0.924,0.956
"Yes",0.975,0.933
"Yes",0.993,0.957
"Yes",0.99,0.935
"Yes",0.974,0.916
"Yes",0.984,0.915
"Yes",0.964,0.951
"Yes",0.985,0.98
"No",0.915,0.955
"No",0.928,0.912
"No",0.944,0.993
"Yes",0.994,0.951
"Yes",0.97,0.917
"No",0.935,0.92
"Yes",0.967,0.966
"Yes",0.992,0.99
"No",0.955,0.934
"No",0.958,0.978
"Yes",0.966,0.914
"No",0.925,0.987
"No",0.947,0.901
"Yes",0.978,0.946
"Yes",0.984,0.931
"Yes",0.988,1
"Yes",1.001,0.978
"Yes",0.965,0.903
"No",0.958,0.926
"No",0.94,0.911
"Yes",0.973,0.997
"No",0.942,0.973
"Yes",0.99,0.997
"No",0.945,0.918
"Yes",0.968,0.998
"Yes",0.97,0.999
"No",0.902,0.953
"Yes",0.978,0.926
"Yes",0.979,0.933
"Yes",0.968,0.937
"No",0.915,0.944
"No",0.921,0.98
"Yes",0.989,0.985
"Yes",0.963,0.924
"Yes",0.998,0.952
"Yes",0.97,0.997
"No",0.925,0.962
"No",0.934,0.921
"No",0.954,0.929
"No",0.948,0.958
"Yes",0.978,0.98
"No",0.94,0.931
"Yes",0.985,0.935
"No",0.951,0.99
"No",0.936,1
"Yes",0.997,0.925
"Yes",0.977,0.97
"Yes",0.978,0.953
"No",0.94,0.985
"Yes",0.967,0.937
"Yes",0.974,0.987
"No",0.957,0.945
"No",0.931,0.971
"Yes",0.987,0.902
"No",0.939,0.941
"Yes",0.984,0.956
"No",0.908,0.966
"No",0.912,0.964
"No",0.946,0.942
"Yes",0.977,0.975
"No",0.922,0.91
"No",0.953,1
"No",0.957,0.935
"No",0.91,0.928
"Yes",0.997,0.912
"No",0.91,0.934
"Yes",0.968,0.98
"Yes",0.969,0.962
"Yes",0.978,0.974
"No",0.951,0.947
"No",0.96,0.995
"No",0.957,0.992
"No",0.922,0.915
"No",0.919,0.928
"Yes",0.978,0.964
"No",0.926,0.924
"Yes",0.987,0.902
"Yes",0.974,0.954
"Yes",0.972,0.972
"No",0.908,0.995
"No",0.906,0.997
"Yes",0.966,0.997
"No",0.941,0.994
"Yes",0.984,0.951
"No",0.943,0.942
"No",0.901,0.985
"No",0.912,0.954
"Yes",0.998,0.98
"Yes",0.993,0.953
"Yes",0.972,0.971
"No",0.902,0.987
"Yes",1,0.955
"Yes",0.992,0.903
"Yes",0.976,0.953
"No",0.926,0.965
"Yes",0.973,0.952
"No",0.905,0.957
"Yes",0.966,0.905
"Yes",0.971,0.977
"No",0.933,0.946
"Yes",0.974,0.995
"No",0.911,0.966
"No",0.906,0.989
"No",0.96,0.971
"Yes",0.962,0.95
"Yes",0.997,0.981
"Yes",1,0.906
"Yes",0.978,0.937
"No",0.947,0.981
"Yes",1,0.926
"Yes",0.992,0.989
"No",0.938,0.946
"No",0.946,0.91
"Yes",0.966,0.984
"Yes",0.981,0.96
"Yes",0.963,0.924
"No",0.914,0.977
"No",0.938,0.943
"Yes",0.992,0.949
"Yes",0.986,0.903
"No",0.914,0.925
"Yes",0.961,0.965
"No",0.929,0.977
"No",0.906,0.927
"Yes",0.996,0.946
"No",0.916,0.969
"No",0.952,0.928
"No",0.9,0.931
"No",0.944,0.968
"Yes",0.972,0.992
"No",0.941,0.938
"No",0.953,0.969
"No",0.955,0.934
"No",0.927,0.965
"No",0.928,0.901
"Yes",0.992,0.97
"No",0.95,0.978
"No",0.917,0.946
"No",0.952,0.948
"Yes",0.985,0.914
"No",0.946,0.929
"Yes",0.984,0.943
"No",0.905,0.91
"No",0.94,0.998
"Yes",0.976,0.912
"Yes",0.991,0.989
"No",0.921,0.98
"Yes",0.996,0.952
"No",0.942,0.911
"No",0.94,0.973
"No",0.926,0.925
"No",0.95,0.901
"Yes",0.987,0.948
"No",0.926,0.999
"Yes",0.981,0.919
"Yes",0.975,0.945
"No",0.958,0.99
"No",0.904,0.95
"Yes",0.975,0.969
"No",0.948,0.935
"No",0.901,0.902
"No",0.916,0.989
"No",0.935,0.964
"No",0.943,0.997
"Yes",0.971,0.917
