Purchased,Discount,DaytoTravel,NoOfPassange,TravelTime,DOW,TimeOfDay,FreFlyer,ReturnTicket
No,27,5,3,6,Friday,Evening,No,No
No,25,10,1,9,Sunday,Overnight,No,Yes
No,27,9,3,3,Tuesday,Morning,No,No
No,22,2,3,2,Tuesday,Morning,No,No
YES,25,2,1,10,Monday,Early Morning,No,No
No,26,15,0,9,Saturday,Evening,No,No
No,19,13,5,9,Saturday,Evening,No,No
No,28,9,4,2,Thursday,Forenoon,No,No
YES,23,16,4,2,Wednesday,Morning,No,No
YES,26,20,1,1,Sunday,Overnight,No,Yes
YES,24,4,1,5,Monday,Early Morning,No,No
YES,23,5,2,2,Monday,Early Morning,Yes,No
No,32,6,3,6,Sunday,Overnight,No,Yes
No,21,13,3,4,Friday,Afternoon,No,No
YES,23,4,3,6,Thursday,Afternoon,No,No
YES,25,15,1,3,Sunday,Overnight,No,Yes
YES,30,17,4,7,Friday,Afternoon,No,No
No,19,15,2,2,Wednesday,Forenoon,No,No
YES,29,8,2,6,Sunday,Overnight,No,Yes
YES,25,19,0,3,Saturday,Evening,No,No
No,22,13,0,6,Friday,Afternoon,No,No
YES,29,7,3,4,Friday,Afternoon,No,No
No,26,15,4,6,Saturday,Evening,No,No
No,31,15,1,8,Saturday,Evening,No,Yes
YES,22,19,2,3,Sunday,Overnight,No,Yes
No,18,7,2,3,Monday,Early Morning,Yes,No
YES,26,17,1,7,Saturday,Evening,No,Yes
YES,31,19,3,1,Sunday,Overnight,No,Yes
YES,32,14,0,8,Sunday,Overnight,No,Yes
YES,28,14,4,4,Monday,Early Morning,Yes,No
YES,21,12,2,3,Monday,Early Morning,Yes,No
No,25,13,1,4,Tuesday,Morning,No,No
YES,32,5,0,5,Monday,Early Morning,Yes,No
No,24,3,5,9,Tuesday,Morning,No,No
YES,27,4,5,6,Friday,Afternoon,No,No
YES,17,5,2,6,Friday,Afternoon,No,No
YES,27,5,2,9,Sunday,Overnight,No,Yes
YES,36,1,1,3,Sunday,Overnight,No,Yes
YES,16,3,2,6,Friday,Afternoon,No,No
No,29,17,4,4,Tuesday,Morning,No,No
No,30,3,1,6,Saturday,Evening,No,Yes
No,27,4,4,9,Tuesday,Early Morning,No,No
No,19,1,0,8,Saturday,Evening,No,Yes
No,22,5,2,4,Wednesday,Forenoon,No,No
No,31,12,1,5,Tuesday,Morning,No,No
No,31,11,1,10,Thursday,Forenoon,No,No
No,24,9,4,1,Saturday,Overnight,No,Yes
No,28,15,3,9,Saturday,Evening,No,No
YES,18,14,4,7,Wednesday,Forenoon,No,No
YES,24,19,3,5,Saturday,Evening,No,No
YES,20,4,3,2,Thursday,Afternoon,No,No
YES,27,2,2,6,Sunday,Overnight,No,Yes
No,30,12,3,4,Tuesday,Morning,No,No
YES,15,17,1,8,Friday,Afternoon,No,No
YES,28,12,0,10,Monday,Early Morning,Yes,No
YES,22,6,1,4,Sunday,Overnight,No,Yes
YES,17,17,5,1,Thursday,Forenoon,No,No
No,25,17,3,6,Wednesday,Morning,No,No
YES,16,14,0,9,Saturday,Evening,No,Yes
YES,24,14,1,4,Tuesday,Morning,No,No
YES,24,4,1,4,Saturday,Evening,No,No
YES,21,19,2,5,Wednesday,Forenoon,No,No
No,28,14,0,2,Tuesday,Morning,No,No
YES,25,18,4,4,Sunday,Overnight,No,Yes
No,26,11,0,7,Sunday,Overnight,No,Yes
No,20,9,5,3,Wednesday,Forenoon,No,No
No,25,14,1,7,Monday,Early Morning,No,No
YES,23,18,0,7,Monday,Early Morning,No,No
No,16,10,0,5,Saturday,Evening,No,No
YES,20,2,2,2,Saturday,Evening,No,No
YES,25,10,0,10,Tuesday,Early Morning,No,No
YES,32,11,1,2,Monday,Early Morning,No,No
No,25,18,3,2,Saturday,Evening,No,Yes
YES,23,14,4,9,Friday,Afternoon,No,No
YES,25,11,1,1,Thursday,Forenoon,No,No
No,30,18,0,6,Saturday,Evening,No,No
YES,20,17,4,3,Sunday,Overnight,No,Yes
YES,26,12,3,4,Friday,Afternoon,No,No
YES,29,5,3,6,Saturday,Evening,No,No
No,32,5,4,2,Wednesday,Forenoon,No,No
YES,29,17,5,3,Saturday,Evening,No,No
No,22,8,3,5,Saturday,Evening,No,No
No,21,3,2,8,Friday,Evening,No,No
YES,29,10,3,1,Monday,Early Morning,Yes,No
No,33,16,1,9,Saturday,Evening,No,Yes
No,27,10,0,7,Saturday,Evening,No,Yes
No,19,3,1,8,Tuesday,Morning,No,No
No,23,10,4,6,Friday,Evening,No,No
YES,42,18,0,2,Friday,Afternoon,No,No
No,22,2,2,7,Wednesday,Forenoon,No,No
No,33,19,1,8,Wednesday,Morning,No,No
YES,31,17,4,6,Monday,Early Morning,Yes,No
No,22,4,1,8,Wednesday,Morning,No,No
No,17,19,0,6,Tuesday,Morning,No,No
No,28,11,5,7,Saturday,Evening,No,No
No,25,7,5,8,Wednesday,Forenoon,No,No
No,23,10,2,8,Wednesday,Forenoon,No,No
YES,24,20,2,10,Friday,Afternoon,No,No
YES,30,19,5,9,Tuesday,Morning,No,No
No,25,16,1,2,Friday,Evening,No,No
No,30,19,0,2,Friday,Afternoon,No,No
No,23,16,1,6,Saturday,Evening,No,No
YES,26,4,5,1,Sunday,Overnight,No,Yes
YES,21,8,1,8,Monday,Early Morning,Yes,No
YES,34,17,2,2,Tuesday,Early Morning,No,No
No,26,6,3,10,Friday,Evening,No,No
No,22,16,3,9,Wednesday,Forenoon,No,No
No,30,14,1,3,Tuesday,Morning,No,No
YES,23,6,4,2,Monday,Early Morning,Yes,No
YES,21,14,2,8,Saturday,Evening,No,No
No,26,16,1,9,Friday,Afternoon,No,No
YES,33,17,2,5,Monday,Early Morning,Yes,No
No,29,3,1,3,Thursday,Forenoon,No,No
No,23,8,4,4,Thursday,Afternoon,No,No
No,12,11,5,8,Thursday,Forenoon,No,No
No,16,17,3,9,Wednesday,Forenoon,No,No
No,22,12,1,7,Wednesday,Forenoon,No,No
No,31,10,2,6,Tuesday,Morning,No,No
No,15,19,1,3,Friday,Evening,No,No
YES,24,16,3,4,Friday,Afternoon,No,No
YES,31,1,2,4,Saturday,Evening,No,No
YES,31,9,2,9,Monday,Early Morning,Yes,No
YES,20,14,3,9,Friday,Afternoon,No,No
YES,25,17,1,6,Saturday,Overnight,No,Yes
YES,26,6,1,5,Sunday,Overnight,No,Yes
YES,23,13,4,3,Thursday,Forenoon,No,No
YES,33,13,3,9,Sunday,Overnight,No,Yes
No,25,19,2,5,Sunday,Overnight,No,Yes
YES,18,16,1,9,Thursday,Afternoon,No,No
YES,29,17,1,6,Friday,Evening,No,No
No,20,6,1,1,Wednesday,Forenoon,No,No
YES,25,11,4,7,Saturday,Evening,No,No
YES,24,14,1,3,Sunday,Overnight,No,Yes
YES,20,15,4,3,Thursday,Afternoon,No,No
YES,34,12,3,2,Friday,Afternoon,No,No
No,26,5,1,3,Tuesday,Morning,No,No
YES,17,14,3,10,Sunday,Overnight,No,Yes
No,22,18,5,2,Saturday,Evening,No,Yes
No,32,5,1,4,Tuesday,Morning,No,No
No,25,20,0,9,Tuesday,Morning,No,No
No,33,3,2,4,Thursday,Forenoon,No,No
YES,23,18,2,9,Monday,Early Morning,Yes,No
No,33,14,0,10,Wednesday,Forenoon,No,No
YES,25,2,4,9,Monday,Early Morning,Yes,No
YES,24,5,0,5,Sunday,Overnight,No,Yes
YES,24,4,3,3,Saturday,Evening,No,No
YES,21,8,1,3,Thursday,Forenoon,No,No
No,24,2,2,3,Tuesday,Morning,No,No
YES,13,1,4,6,Monday,Early Morning,Yes,No
No,29,8,1,2,Sunday,Overnight,No,Yes
YES,18,15,1,2,Thursday,Forenoon,No,No
YES,28,13,3,2,Thursday,Forenoon,No,No
YES,24,15,1,6,Sunday,Overnight,No,Yes
YES,16,17,3,5,Thursday,Afternoon,No,No
No,35,17,3,5,Tuesday,Morning,No,No
YES,20,11,2,2,Saturday,Evening,No,No
No,29,15,3,7,Wednesday,Morning,No,No
YES,22,20,3,4,Sunday,Overnight,No,Yes
No,25,17,1,4,Wednesday,Forenoon,No,No
YES,26,4,0,4,Sunday,Overnight,No,Yes
YES,23,17,4,10,Saturday,Evening,No,Yes
YES,23,12,5,6,Thursday,Afternoon,No,No
No,32,4,5,10,Wednesday,Forenoon,No,No
No,19,10,3,6,Friday,Evening,No,No
YES,25,7,5,3,Tuesday,Morning,No,No
No,25,13,0,8,Saturday,Evening,No,Yes
No,18,7,0,1,Friday,Afternoon,No,No
YES,26,6,4,10,Sunday,Overnight,No,Yes
No,21,17,4,3,Wednesday,Forenoon,No,No
YES,36,16,4,2,Wednesday,Forenoon,No,No
No,20,14,4,10,Saturday,Evening,No,Yes
No,17,7,2,8,Thursday,Forenoon,No,No
YES,27,17,4,1,Saturday,Evening,No,No
YES,11,19,5,10,Saturday,Evening,No,No
YES,27,8,1,6,Saturday,Evening,No,No
YES,20,2,2,5,Monday,Early Morning,No,No
YES,28,5,0,10,Wednesday,Forenoon,No,No
YES,26,19,5,1,Wednesday,Forenoon,No,No
YES,28,9,5,7,Monday,Early Morning,Yes,No
YES,34,15,1,6,Friday,Afternoon,No,No
YES,14,7,1,2,Monday,Early Morning,Yes,No
YES,23,12,3,8,Monday,Early Morning,Yes,No
No,26,5,4,1,Thursday,Afternoon,No,No
No,34,10,4,7,Wednesday,Forenoon,No,No
No,24,17,2,5,Saturday,Evening,No,No
No,24,19,1,2,Sunday,Overnight,No,Yes
YES,24,15,2,9,Tuesday,Morning,No,No
No,25,14,5,6,Sunday,Overnight,No,Yes
YES,25,15,3,4,Monday,Early Morning,Yes,No
YES,25,3,4,1,Sunday,Overnight,No,Yes
No,37,2,1,8,Thursday,Forenoon,No,No
No,23,4,4,5,Wednesday,Forenoon,No,No
YES,27,16,4,1,Sunday,Overnight,No,Yes
No,24,18,4,8,Tuesday,Morning,No,No
No,26,14,5,9,Tuesday,Morning,No,No
YES,23,6,2,4,Friday,Evening,No,No
No,23,1,4,8,Tuesday,Morning,No,No
No,19,2,1,2,Thursday,Afternoon,No,No
No,27,1,2,1,Sunday,Overnight,No,Yes
YES,21,3,3,1,Sunday,Overnight,No,Yes
YES,25,1,3,6,Monday,Early Morning,No,No
No,25,4,3,1,Wednesday,Forenoon,No,No
YES,26,11,5,3,Sunday,Overnight,No,Yes
YES,20,14,3,2,Sunday,Overnight,No,Yes
No,24,13,5,5,Tuesday,Morning,No,No
No,23,16,0,6,Friday,Afternoon,No,No
No,34,9,0,5,Saturday,Evening,No,Yes
No,19,3,0,4,Sunday,Overnight,No,Yes
YES,20,10,1,5,Sunday,Overnight,No,Yes
No,21,19,0,3,Sunday,Overnight,No,Yes
YES,29,13,2,7,Monday,Early Morning,Yes,No
YES,33,15,1,3,Monday,Early Morning,Yes,No
YES,21,5,2,2,Thursday,Forenoon,No,No
YES,29,2,3,6,Friday,Afternoon,No,No
No,29,7,1,9,Tuesday,Morning,No,No
YES,29,19,3,4,Sunday,Overnight,No,Yes
No,32,14,1,9,Saturday,Evening,No,Yes
YES,33,1,4,2,Thursday,Afternoon,No,No
YES,23,10,3,8,Monday,Early Morning,Yes,No
YES,26,15,5,7,Wednesday,Morning,No,No
No,27,12,1,5,Saturday,Evening,No,No
No,27,9,1,1,Tuesday,Morning,No,No
YES,25,15,0,2,Thursday,Afternoon,No,No
YES,16,2,3,4,Sunday,Overnight,No,Yes
YES,23,14,3,9,Thursday,Forenoon,No,No
YES,19,4,3,6,Saturday,Evening,No,No
No,22,9,4,9,Tuesday,Morning,No,No
No,29,11,4,2,Friday,Afternoon,No,No
No,29,8,4,3,Wednesday,Forenoon,No,No
YES,32,2,1,2,Friday,Afternoon,No,No
YES,30,5,2,8,Tuesday,Morning,No,No
No,28,3,4,7,Saturday,Evening,No,Yes
YES,31,3,1,9,Saturday,Evening,No,No
YES,28,17,1,7,Sunday,Overnight,No,Yes
YES,23,19,4,8,Monday,Early Morning,Yes,No
No,26,3,0,3,Sunday,Overnight,No,Yes
No,23,15,1,5,Thursday,Forenoon,No,No
No,25,10,4,8,Saturday,Evening,No,No
YES,22,15,0,9,Saturday,Evening,No,No
YES,30,19,1,2,Friday,Afternoon,No,No
YES,16,4,5,2,Thursday,Afternoon,No,No
No,23,2,3,10,Saturday,Evening,No,No
YES,30,15,2,2,Tuesday,Morning,No,No
No,24,19,3,3,Saturday,Evening,No,No
No,25,19,4,3,Friday,Afternoon,No,No
YES,17,2,2,7,Tuesday,Morning,No,No
No,36,10,2,3,Saturday,Evening,No,No
No,17,5,2,2,Tuesday,Morning,No,No
YES,28,2,2,7,Saturday,Evening,No,No
YES,24,11,5,2,Thursday,Forenoon,No,No
YES,30,11,1,4,Monday,Early Morning,Yes,No
No,23,6,3,7,Monday,Early Morning,No,No
YES,23,3,0,9,Sunday,Overnight,No,Yes
YES,19,12,1,2,Wednesday,Forenoon,No,No
YES,32,18,3,2,Thursday,Forenoon,No,No
YES,16,11,5,3,Saturday,Evening,No,No
YES,27,19,0,9,Monday,Early Morning,No,No
YES,18,7,1,9,Wednesday,Forenoon,No,No
No,25,17,2,1,Wednesday,Forenoon,No,No
No,22,9,2,2,Tuesday,Early Morning,No,No
No,20,17,3,4,Monday,Early Morning,Yes,No
No,22,19,1,10,Tuesday,Morning,No,No
YES,23,10,4,5,Tuesday,Morning,No,No
YES,23,13,3,7,Saturday,Overnight,No,Yes
YES,13,5,4,9,Monday,Early Morning,Yes,No
YES,12,11,5,7,Monday,Early Morning,No,No
YES,25,2,3,6,Thursday,Afternoon,No,No
YES,34,13,4,2,Monday,Early Morning,No,No
YES,34,11,4,3,Saturday,Evening,No,Yes
YES,28,18,1,3,Sunday,Overnight,No,Yes
YES,26,18,4,7,Saturday,Evening,No,No
YES,44,16,1,7,Monday,Early Morning,Yes,No
YES,32,11,3,7,Sunday,Overnight,No,Yes
No,22,19,2,8,Thursday,Afternoon,No,No
No,28,12,1,5,Wednesday,Morning,No,No
No,29,5,5,9,Sunday,Overnight,No,Yes
YES,23,5,5,2,Monday,Early Morning,Yes,No
No,20,13,2,9,Thursday,Afternoon,No,No
YES,33,13,2,4,Saturday,Evening,No,No
No,31,13,1,4,Saturday,Overnight,No,Yes
No,28,11,1,5,Wednesday,Morning,No,No
YES,25,14,1,5,Friday,Afternoon,No,No
YES,29,18,5,5,Sunday,Overnight,No,Yes
YES,31,9,4,2,Friday,Afternoon,No,No
No,24,12,2,5,Wednesday,Morning,No,No
YES,34,19,1,9,Monday,Early Morning,Yes,No
No,27,5,3,4,Sunday,Overnight,No,Yes
No,17,3,2,6,Sunday,Overnight,No,Yes
YES,26,17,2,5,Friday,Afternoon,No,No
YES,29,13,3,2,Monday,Early Morning,Yes,No
No,24,13,1,4,Wednesday,Morning,No,No
YES,35,1,3,10,Friday,Afternoon,No,No
No,25,6,2,6,Wednesday,Forenoon,No,No
YES,24,8,4,8,Saturday,Evening,No,No
YES,31,2,3,6,Sunday,Overnight,No,Yes
YES,20,18,2,9,Monday,Early Morning,Yes,No
No,38,4,1,3,Wednesday,Forenoon,No,No
YES,24,3,3,6,Thursday,Afternoon,No,No
YES,22,3,3,5,Sunday,Overnight,No,Yes
YES,32,14,2,2,Monday,Early Morning,Yes,No
YES,21,10,4,7,Thursday,Forenoon,No,No
YES,37,6,1,9,Thursday,Forenoon,No,No
YES,26,6,3,5,Monday,Early Morning,Yes,No
No,20,17,5,7,Saturday,Evening,No,Yes
No,25,12,2,5,Wednesday,Forenoon,No,No
No,24,17,1,9,Tuesday,Morning,No,No
YES,22,19,1,10,Sunday,Overnight,No,Yes
No,20,18,1,6,Saturday,Evening,No,Yes
YES,27,5,3,3,Friday,Afternoon,No,No
No,25,13,2,7,Saturday,Evening,No,Yes
No,26,1,5,7,Friday,Evening,No,No
YES,26,13,3,8,Monday,Early Morning,No,No
No,31,2,1,7,Wednesday,Forenoon,No,No
YES,25,12,4,5,Thursday,Forenoon,No,No
No,23,3,5,9,Friday,Evening,No,No
No,23,2,3,9,Saturday,Evening,No,No
YES,28,20,3,10,Tuesday,Morning,No,No
No,25,20,2,4,Thursday,Forenoon,No,No
YES,25,12,5,7,Sunday,Overnight,No,Yes
No,19,4,0,7,Wednesday,Morning,No,No
No,22,8,2,10,Tuesday,Morning,No,No
No,20,18,3,7,Thursday,Forenoon,No,No
No,31,4,2,4,Friday,Evening,No,No
YES,19,10,3,4,Thursday,Forenoon,No,No
YES,29,3,4,3,Monday,Early Morning,No,No
YES,28,15,5,2,Sunday,Overnight,No,Yes
YES,30,13,5,3,Wednesday,Forenoon,No,No
YES,26,3,3,5,Thursday,Afternoon,No,No
YES,29,8,3,2,Monday,Early Morning,No,No
No,25,14,1,4,Tuesday,Morning,No,No
YES,32,16,3,2,Thursday,Forenoon,No,No
YES,22,2,5,6,Sunday,Overnight,No,Yes
No,27,12,4,5,Wednesday,Forenoon,No,No
No,33,13,5,9,Tuesday,Morning,No,No
YES,12,6,1,2,Saturday,Evening,No,Yes
No,34,16,4,2,Friday,Evening,No,No
YES,30,5,4,2,Wednesday,Forenoon,No,No
No,24,5,4,4,Friday,Evening,No,No
YES,31,8,2,9,Monday,Early Morning,No,No
YES,14,2,5,2,Wednesday,Morning,No,No
No,22,7,4,2,Sunday,Overnight,No,Yes
No,16,16,1,5,Wednesday,Forenoon,No,No
YES,24,15,4,9,Wednesday,Morning,No,No
YES,25,14,1,3,Thursday,Afternoon,No,No
YES,17,13,5,2,Sunday,Overnight,No,Yes
No,21,4,4,8,Wednesday,Forenoon,No,No
No,32,16,4,8,Thursday,Afternoon,No,No
YES,23,4,3,6,Saturday,Evening,No,No
No,22,12,3,2,Sunday,Overnight,No,Yes
YES,13,16,2,6,Sunday,Overnight,No,Yes
YES,15,12,3,5,Thursday,Afternoon,No,No
YES,18,14,1,7,Monday,Early Morning,Yes,No
YES,24,9,4,2,Thursday,Forenoon,No,No
No,25,5,3,10,Wednesday,Forenoon,No,No
No,35,9,1,8,Tuesday,Morning,No,No
YES,31,19,5,7,Saturday,Evening,No,No
No,19,10,3,8,Wednesday,Forenoon,No,No
YES,35,11,5,6,Friday,Afternoon,No,No
No,28,13,4,3,Tuesday,Morning,No,No
YES,27,13,2,3,Monday,Early Morning,Yes,No
YES,31,7,3,5,Friday,Afternoon,No,No
No,35,11,2,2,Thursday,Afternoon,No,No
YES,29,15,4,4,Saturday,Evening,No,No
YES,21,2,3,7,Saturday,Evening,No,No
YES,27,8,1,8,Monday,Early Morning,Yes,No
YES,30,10,3,6,Sunday,Overnight,No,Yes
YES,26,15,5,4,Thursday,Afternoon,No,No
YES,19,12,4,8,Tuesday,Early Morning,No,No
No,15,19,1,2,Saturday,Evening,No,No
YES,29,15,4,8,Monday,Early Morning,Yes,No
YES,28,3,4,5,Wednesday,Forenoon,No,No
YES,24,3,1,2,Monday,Early Morning,Yes,No
YES,25,4,1,2,Saturday,Evening,No,No
YES,27,7,5,2,Tuesday,Morning,No,No
YES,25,4,4,2,Friday,Afternoon,No,No
YES,20,10,0,9,Thursday,Forenoon,No,No
YES,31,7,2,2,Saturday,Overnight,No,Yes
No,30,11,3,3,Saturday,Evening,No,Yes
YES,24,16,2,9,Sunday,Overnight,No,Yes
YES,29,7,4,8,Monday,Early Morning,Yes,No
No,25,13,0,1,Thursday,Afternoon,No,No
YES,24,8,4,6,Wednesday,Morning,No,No
No,22,8,4,7,Sunday,Overnight,No,Yes
No,30,18,5,5,Wednesday,Forenoon,No,No
YES,24,19,1,8,Saturday,Evening,No,No
YES,24,12,4,4,Monday,Early Morning,Yes,No
No,20,8,3,4,Thursday,Forenoon,No,No
No,33,11,1,3,Sunday,Overnight,No,Yes
No,22,14,2,2,Friday,Afternoon,No,No
YES,17,10,2,7,Monday,Early Morning,No,No
No,22,15,2,7,Thursday,Forenoon,No,No
No,22,17,5,3,Wednesday,Morning,No,No
No,24,4,3,7,Friday,Evening,No,No
YES,19,11,3,6,Monday,Early Morning,No,No
YES,19,4,2,2,Friday,Afternoon,No,No
YES,34,18,2,9,Saturday,Evening,No,No
YES,22,19,0,1,Wednesday,Morning,No,No
YES,21,3,3,7,Sunday,Overnight,No,Yes
YES,33,19,5,3,Tuesday,Morning,No,No
No,31,10,2,7,Wednesday,Forenoon,No,No
YES,19,8,1,9,Wednesday,Forenoon,No,No
YES,16,16,5,4,Sunday,Overnight,No,Yes
No,27,8,3,7,Friday,Evening,No,No
YES,23,18,2,6,Monday,Early Morning,No,No
No,27,12,4,9,Tuesday,Morning,No,No
YES,22,8,1,7,Monday,Early Morning,Yes,No
YES,20,18,3,2,Friday,Afternoon,No,No
YES,23,10,3,3,Monday,Early Morning,Yes,No
No,18,14,3,7,Saturday,Evening,No,Yes
No,25,5,3,5,Sunday,Overnight,No,Yes
YES,35,11,2,8,Friday,Afternoon,No,No
YES,23,15,2,4,Saturday,Evening,No,No
No,20,6,1,2,Saturday,Overnight,No,Yes
YES,24,3,4,10,Thursday,Forenoon,No,No
YES,27,16,2,8,Tuesday,Morning,No,No
YES,24,1,5,6,Saturday,Evening,No,No
No,17,14,0,5,Thursday,Afternoon,No,No
YES,28,3,5,2,Monday,Early Morning,No,No
YES,21,7,0,1,Friday,Afternoon,No,No
YES,33,15,5,9,Thursday,Forenoon,No,No
YES,22,5,4,6,Saturday,Overnight,No,Yes
YES,31,17,4,8,Thursday,Forenoon,No,No
YES,27,9,5,7,Saturday,Evening,No,No
YES,29,7,0,5,Sunday,Overnight,No,Yes
YES,25,11,2,2,Saturday,Overnight,No,Yes
No,24,14,1,7,Tuesday,Morning,No,No
YES,21,17,5,4,Tuesday,Morning,No,No
YES,31,7,3,2,Tuesday,Morning,No,No
No,31,18,2,6,Saturday,Evening,No,Yes
YES,28,5,3,7,Monday,Early Morning,Yes,No
No,29,9,5,6,Wednesday,Forenoon,No,No
YES,27,5,5,4,Friday,Afternoon,No,No
No,31,6,1,2,Saturday,Evening,No,No
YES,13,13,4,6,Saturday,Evening,No,No
YES,32,20,5,9,Sunday,Overnight,No,Yes
No,19,13,4,9,Wednesday,Forenoon,No,No
YES,16,11,2,9,Sunday,Overnight,No,Yes
YES,33,20,3,10,Saturday,Evening,No,No
YES,22,18,4,4,Thursday,Afternoon,No,No
YES,27,17,1,3,Monday,Early Morning,Yes,No
YES,24,1,5,5,Friday,Afternoon,No,No
No,28,11,4,1,Thursday,Forenoon,No,No
YES,35,8,2,2,Friday,Afternoon,No,No
YES,22,11,0,7,Monday,Early Morning,Yes,No
YES,26,11,1,1,Sunday,Overnight,No,Yes
YES,24,17,1,9,Wednesday,Forenoon,No,No
No,23,15,4,10,Tuesday,Morning,No,No
YES,30,15,4,8,Sunday,Overnight,No,Yes
No,27,7,1,8,Friday,Afternoon,No,No
No,19,18,3,4,Tuesday,Early Morning,No,No
YES,29,2,3,6,Monday,Early Morning,No,No
No,19,15,4,2,Friday,Afternoon,No,No
YES,16,19,0,1,Wednesday,Forenoon,No,No
YES,23,17,1,5,Thursday,Afternoon,No,No
No,31,17,4,3,Wednesday,Morning,No,No
YES,31,5,3,2,Tuesday,Morning,No,No
No,18,11,2,1,Tuesday,Morning,No,No
No,30,4,2,4,Tuesday,Morning,No,No
YES,31,11,1,7,Thursday,Afternoon,No,No
No,28,17,4,1,Friday,Evening,No,No
No,24,16,3,8,Friday,Evening,No,No
YES,19,6,1,9,Thursday,Forenoon,No,No
No,27,11,3,1,Sunday,Overnight,No,Yes
YES,21,1,3,5,Friday,Afternoon,No,No
No,25,18,5,5,Saturday,Overnight,No,Yes
YES,18,12,5,8,Monday,Early Morning,Yes,No
No,29,7,1,3,Wednesday,Forenoon,No,No
No,34,17,2,4,Friday,Afternoon,No,No
No,24,5,0,3,Tuesday,Morning,No,No
YES,27,15,4,10,Monday,Early Morning,Yes,No
YES,23,2,1,3,Thursday,Forenoon,No,No
YES,29,16,3,3,Saturday,Evening,No,Yes
No,23,9,2,2,Wednesday,Morning,No,No
YES,27,3,1,5,Thursday,Forenoon,No,No
YES,22,8,2,5,Saturday,Evening,No,No
YES,35,2,2,7,Sunday,Overnight,No,Yes
YES,25,13,4,9,Thursday,Afternoon,No,No
YES,29,9,1,4,Thursday,Forenoon,No,No
YES,31,2,0,3,Monday,Early Morning,No,No
YES,23,20,3,4,Thursday,Forenoon,No,No
No,35,6,0,7,Friday,Afternoon,No,No
YES,28,3,3,2,Thursday,Afternoon,No,No
No,21,1,5,4,Tuesday,Morning,No,No
YES,24,4,1,6,Sunday,Overnight,No,Yes
YES,20,18,2,3,Monday,Early Morning,No,No
YES,26,17,2,3,Monday,Early Morning,Yes,No
No,20,2,3,2,Friday,Afternoon,No,No
YES,14,18,1,9,Monday,Early Morning,No,No
YES,23,1,1,3,Monday,Early Morning,Yes,No
No,25,15,4,5,Tuesday,Early Morning,No,No
No,19,14,3,2,Saturday,Evening,No,Yes
YES,25,3,2,5,Sunday,Overnight,No,Yes
YES,24,20,3,1,Friday,Afternoon,No,No
YES,30,17,4,10,Friday,Afternoon,No,No
No,27,17,5,6,Thursday,Afternoon,No,No
YES,24,15,4,9,Monday,Early Morning,No,No
YES,23,7,4,9,Sunday,Overnight,No,Yes
YES,33,17,3,7,Saturday,Evening,No,No
YES,31,6,2,8,Monday,Early Morning,Yes,No
No,28,14,1,6,Friday,Afternoon,No,No
YES,20,11,2,8,Thursday,Afternoon,No,No
YES,16,6,4,10,Wednesday,Forenoon,No,No
